time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450350000	14.3868	20.5986	4.86661	2.76569	0.5171	radar	1.31557	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.14	20.6719	4.88221	2.79948	0.525946	lidar	0.746779	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9034	20.7429	4.88993	2.83797	0.557994	radar	0.290729	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6285	20.8051	4.93989	2.87469	0.566729	lidar	1.73513	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3818	20.8348	4.94322	2.93438	0.642939	radar	1.92549	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1347	20.8731	4.94415	2.97032	0.647363	lidar	0.140804	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9044	20.9332	4.93212	2.98688	0.616323	radar	1.91706	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7038	20.9749	4.87451	3.01091	0.610967	lidar	1.94092	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4523	21.0166	4.89516	3.03621	0.602306	radar	2.58004	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2045	21.0529	4.9083	3.06098	0.59524	lidar	0.180684	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9673	21.0729	4.90193	3.09126	0.601319	radar	0.897149	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7244	21.0412	4.8821	3.13756	0.621856	lidar	1.77327	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4789	21.0281	4.87807	3.17089	0.62032	radar	1.04927	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2623	21.0205	4.83934	3.20031	0.620188	lidar	0.681219	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0098	20.9819	4.84834	3.23846	0.625262	radar	4.07087	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
